name,bytes,sha256,entry_count,text_hit_count
FOOTBALL_MOBILE_TO_PC_MIGRATION_MASTER_STAGE1_XPLAYABLE.zip,20509708,516a81372616663b6e0ef0ea290d2cea08314f3ff5186679cb0f60e6adaa8757,49,7
FOOTBALL_MOBILE_TO_PC_MIGRATION_MASTER_v1.zip,208900550,50073adf3b26be9e448ca7f6faa063d7ecd070a1fc3bfbb7cdc2b3d1969b0434,1941,93
FOOTBALL_MOBILE_TO_PC_MIGRATION_MASTER_v1_1.zip,157288676,c1c7d5352f94241c5aed771666ad5f723b24593ac7cf8c3bc9bfb0e7d175e1eb,4867,98
FOOTBALL_PC_3D_READY_PACK_v0_1.zip,7220246,5b22f66a75e694405273cdb8647084076f621b7d6cc29fc99045a018423e2ef7,258,9
FOOTBALL_PC_3D_READY_PACK_v0_2.zip,15126093,e287e1140dd704479292e5516996484641ed326a027f5c8302577eadd3393226,277,21
FOOTBALL_PLAYER_SYSTEMS_REFERENCE_PACK_v0_1.zip,3409699,46d0d4bf90f3d37bef137cb9be223d66db7b9ea4c03cb13bbaa9f7debf1aad50,214,136
FOOTBALL_PLAYER_ECOSYSTEM_CORE_v0_1.zip,1469457,74d6e29c0d68ceb59912e7049f85f1d57f16f225cd6905dd03f28d3756383822,141,85
FOOTBALL_PLAYER_ECOSYSTEM_CORE_v0_2_VISUAL_REGISTRY.zip,2591557,cea86e1e18f7aa58f924302bae542ebf2782217b32594d315aff3ff423efe813,139,100
FOOTBALL_VISUAL_PRESENTATION_ARCHITECTURE_v1.zip,17019,a823b6d83637dc6899041348649f1b9650c060c9407786bcf9cc3e7366838645,10,10
FOOTBALL_VISUAL_PRODUCTION_ASSET_PACK_v0_1.zip,73269452,b0e1336e576c0b9dae8d04d424e706f16b18c18a28ed94b13da129a052d322b1,1119,14
FOOTBALL_ANIMATION_RECOVERY_PACK_v1_0.zip,104588601,91a2a6bffeb9739807ab2ae432ed1ee79232db0b4ec4c2862cb0241027273f64,1963,85
FOOTBALL_PHYSICS_RECOVERY_PACK_v0_2.zip,14956086,7d5cabe5d974f7282ca7126d5c36c7bc71a448275cf144b73625be9fccf415ac,375,35
FUTEBOL_AI_MASTER_ARCHIVE_v1_1_2026-09-11.zip,256072964,816a7100f7652f65cf42f069bb29b4ed441e28707cf541e4f806957758ebee41,56,26
FUTEBOL_AI_MASTER_ARCHIVE_v1_1_2026-09-11 (1).zip,256072964,816a7100f7652f65cf42f069bb29b4ed441e28707cf541e4f806957758ebee41,56,26
